Temps,Tension,Vitesse,GazFrein,WHCharged,WHDischarged,Distance,CurrentIn,MotorCurrent,Lat,Lon,Alt,Vsat,Cap,Sat,HDOP,Heure,Date,Distance_GPS
420.58,44.4,14.06,0.0,3.61,1.24,0.22,0.0,0.0,48.83955,2.206804,87.95,6.83,167.02,18,0.83,19152500,220725,2050.145315099717
421.59,44.4,15.12,0.0,3.61,1.24,0.22,0.0,0.0,48.839569,2.206847,87.8,6.83,167.02,18,0.83,19152600,220725,2053.9356819675195
422.45,44.4,16.69,0.0,3.61,1.24,0.22,0.0,0.0,48.839596,2.206887,87.62,6.83,167.02,18,0.83,19152700,220725,2058.128924104118
423.5,44.6,17.82,-90.0,3.62,1.24,0.22,-4.6,-18.94,48.839622,2.206929,87.81,6.83,167.02,18,0.83,19152800,220725,2062.348681795015
424.07,44.7,17.78,-90.0,3.65,1.24,0.22,-4.47,-18.81,48.839622,2.206929,87.81,16.41,41.74,18,0.83,19152800,220725,2062.348681795015
424.63,44.8,17.07,-90.0,3.69,1.24,0.22,-4.24,-18.72,48.839649,2.206969,88.42,16.41,41.74,18,0.83,19152900,220725,2066.541921769099
425.44,44.9,16.52,-90.0,3.73,1.24,0.22,-4.1,-18.87,48.839672,2.207011,88.29,16.41,41.74,18,0.83,19153000,220725,2070.5405192387425
426.57,44.9,15.43,-90.0,3.78,1.24,0.22,-3.71,-18.92,48.839687,2.207058,88.11,16.41,41.74,18,0.83,19153100,220725,2074.3632749680746
427.48,45.1,14.62,-90.0,3.82,1.24,0.22,-3.41,-18.82,48.839695,2.20711,88.07,16.41,41.74,18,0.83,19153200,220725,2078.2714766107306
428.61,44.9,14.27,0.0,3.84,1.24,0.22,0.0,0.0,48.839687,2.207159,88.11,16.41,41.74,18,0.83,19153300,220725,2081.966224350304
429.5,44.9,13.92,0.0,3.84,1.24,0.22,0.0,0.0,48.839672,2.207197,87.79,16.41,41.74,18,0.83,19153400,220725,2085.2090766683436
430.06,44.9,14.17,0.0,3.84,1.24,0.22,0.0,0.0,48.839672,2.207197,87.79,10.2,123.71,18,0.83,19153400,220725,2085.2090766683436
430.62,44.9,14.58,0.0,3.84,1.24,0.22,0.0,0.0,48.839661,2.207225,87.66,10.2,123.71,18,0.83,19153500,220725,2087.595542435585
431.47,44.9,15.26,0.0,3.84,1.24,0.22,0.0,0.0,48.839645,2.207246,87.64,10.2,123.71,17,0.83,19153600,220725,2089.9465591756903
432.52,44.9,16.54,0.0,3.84,1.24,0.22,0.0,0.0,48.839622,2.207264,87.93,10.2,123.71,17,0.87,19153700,220725,2092.823377014631
433.08,44.9,16.93,0.0,3.84,1.24,0.22,0.0,0.0,48.839622,2.207264,87.93,10.82,137.19,17,0.87,19153700,220725,2092.823377014631
433.64,44.9,17.51,0.0,3.84,1.24,0.22,0.0,0.0,48.839596,2.207296,88.48,10.82,137.19,17,0.87,19153800,220725,2096.543978389436
434.61,44.9,17.05,0.0,3.84,1.24,0.22,0.0,0.0,48.839565,2.207339,88.98,10.82,137.19,18,0.83,19153900,220725,2101.211468048814
435.48,44.9,17.91,0.0,3.84,1.24,0.22,0.0,0.0,48.839546,2.207391,89.25,10.82,137.19,18,0.83,19154000,220725,2105.5642050055503
436.51,44.9,17.82,0.0,3.84,1.24,0.22,0.0,0.0,48.839542,2.207445,88.45,10.82,137.19,18,0.83,19154100,220725,2109.541154167914
437.07,44.9,17.58,0.0,3.84,1.24,0.22,0.0,0.0,48.839542,2.207445,88.45,15.09,90.49,18,0.83,19154100,220725,2109.541154167914
437.64,44.9,17.62,0.0,3.84,1.24,0.22,0.0,0.0,48.839546,2.2075,89.07,15.09,90.49,18,0.83,19154200,220725,2113.5908376250836
438.44,44.9,17.49,0.0,3.84,1.24,0.23,0.0,0.0,48.839558,2.207549,89.43,15.09,90.49,18,0.83,19154300,220725,2117.417112206124
439.51,44.9,17.08,0.0,3.84,1.24,0.23,0.0,0.0,48.839577,2.207589,90.12,15.09,90.49,18,0.83,19154400,220725,2121.0272670552667
440.52,44.9,17.13,0.0,3.84,1.24,0.23,0.0,0.0,48.8396,2.207631,90.03,15.09,90.49,18,0.83,19154500,220725,2125.025867921382
441.08,44.9,17.77,0.0,3.84,1.24,0.23,0.0,0.0,48.8396,2.207631,90.03,14.46,46.19,18,0.83,19154500,220725,2125.025867921382
441.65,44.9,17.45,0.0,3.84,1.24,0.23,0.0,0.0,48.839622,2.207675,90.03,14.46,46.19,18,0.83,19154600,220725,2129.0698322734547
442.47,44.9,17.0,0.0,3.84,1.24,0.23,0.0,0.0,48.839642,2.207725,90.73,14.46,46.19,18,0.83,19154700,220725,2133.351870200244
443.52,44.9,16.99,0.0,3.84,1.24,0.23,0.0,0.0,48.839645,2.207778,91.34,14.46,46.19,18,0.83,19154800,220725,2137.2449943131337
444.59,44.8,16.81,0.0,3.84,1.24,0.23,0.0,0.0,48.839645,2.20783,91.63,14.46,46.19,18,0.83,19154900,220725,2141.0506152520893
445.58,45.0,15.71,-40.0,3.84,1.24,0.23,-2.59,-10.56,48.839638,2.207883,91.75,14.46,46.19,18,0.83,19155000,220725,2145.0067483423527
446.51,44.9,14.51,-62.0,3.86,1.24,0.23,0.0,0.0,48.839622,2.207927,91.9,14.46,46.19,18,0.83,19155100,220725,2148.6856852468923
447.07,44.9,13.06,-10.0,3.87,1.24,0.23,-0.01,-0.03,48.839622,2.207927,91.9,10.87,119.19,18,0.83,19155100,220725,2148.6856852468923
447.64,45.0,12.45,-13.0,3.87,1.24,0.23,-0.94,-4.18,48.839611,2.207961,92.52,10.87,119.19,18,0.83,19155200,220725,2151.458351642641
448.52,44.9,12.5,0.0,3.87,1.24,0.23,0.0,0.0,48.839603,2.208001,93.07,10.87,119.19,17,0.87,19155300,220725,2154.517927420598
449.57,44.6,12.01,88.0,3.87,1.26,0.23,4.16,15.06,48.839588,2.208039,93.21,10.87,119.19,18,0.83,19155400,220725,2157.760783738305
450.46,44.4,13.17,88.0,3.87,1.31,0.23,4.64,14.64,48.839569,2.208081,93.79,10.87,119.19,18,0.83,19155500,220725,2161.4906105831697
451.03,44.3,13.85,88.0,3.87,1.34,0.23,4.9,14.71,48.839569,2.208081,93.79,12.22,130.96,18,0.83,19155500,220725,2161.4906105831697
451.59,44.2,14.84,88.0,3.87,1.38,0.23,5.14,14.74,48.839539,2.208127,94.04,12.22,130.96,18,0.83,19155600,220725,2166.2299477612146
452.54,44.1,16.42,84.0,3.87,1.43,0.23,5.35,13.89,48.839508,2.208174,93.52,12.22,130.96,18,0.83,19155700,220725,2171.0996159723577
453.45,44.3,17.99,2.0,3.87,1.48,0.23,0.0,0.0,48.839474,2.208223,93.78,12.22,130.96,18,0.83,19155800,220725,2176.3104788515375
454.01,44.3,18.29,0.0,3.87,1.48,0.23,0.0,0.0,48.839474,2.208223,93.78,17.02,137.33,18,0.83,19155800,220725,2176.3104788515375
454.57,44.3,18.72,0.0,3.87,1.48,0.23,0.0,0.0,48.839443,2.208271,93.41,17.02,137.33,18,0.83,19155900,220725,2181.232117545698
455.58,44.3,17.89,0.0,3.87,1.48,0.23,0.0,0.0,48.839409,2.208318,93.55,17.02,137.33,18,0.83,19160000,220725,2186.3433556858986
456.51,44.3,16.75,0.0,3.87,1.48,0.23,0.0,0.0,48.839378,2.208357,93.24,17.02,137.33,18,0.83,19160100,220725,2190.8187028960524
457.07,44.3,16.8,0.0,3.87,1.48,0.23,0.0,0.0,48.839378,2.208357,93.24,15.3,144.34,18,0.83,19160100,220725,2190.8187028960524
457.64,44.3,15.56,0.0,3.87,1.48,0.23,0.0,0.0,48.839348,2.208385,93.58,15.3,144.34,18,0.83,19160200,220725,2194.733682917751
458.56,44.3,14.89,0.0,3.87,1.48,0.23,0.0,0.0,48.839317,2.208403,93.54,15.3,144.34,18,0.83,19160300,220725,2198.4238705003754
459.57,44.3,16.2,0.0,3.87,1.48,0.23,0.0,0.0,48.839287,2.208424,93.48,15.3,144.34,18,0.83,19160400,220725,2202.0967344451683
460.46,44.3,17.31,0.0,3.87,1.48,0.23,0.0,0.0,48.839256,2.208455,93.23,15.3,144.34,18,0.83,19160500,220725,2206.2233966991685
461.51,44.3,18.16,0.0,3.87,1.48,0.24,0.0,0.0,48.839233,2.208496,92.84,15.3,144.34,18,0.83,19160600,220725,2210.166032830305
462.07,44.3,18.52,0.0,3.87,1.48,0.24,0.0,0.0,48.839233,2.208496,92.84,15.43,130.32,18,0.83,19160600,220725,2210.166032830305
462.64,44.3,19.54,0.0,3.87,1.48,0.24,0.0,0.0,48.839203,2.208541,92.52,15.43,130.32,18,0.83,19160700,220725,2214.853682600523
463.52,44.2,20.18,0.0,3.87,1.48,0.24,0.0,0.0,48.839169,2.208588,92.5,15.43,130.32,18,0.83,19160800,220725,2219.9649318326337
464.09,44.3,20.48,0.0,3.87,1.48,0.24,0.0,0.0,48.839169,2.208588,92.5,18.58,140.3,18,0.83,19160800,220725,2219.9649318326337
464.65,43.8,21.58,88.0,3.87,1.48,0.24,6.37,11.69,48.839134,2.208639,92.51,18.58,140.3,18,0.83,19160900,220725,2225.357299982303
465.56,43.6,23.18,88.0,3.87,1.56,0.24,7.7,14.78,48.8391,2.2087,92.53,18.58,140.3,18,0.83,19161000,220725,2231.207378179117
466.47,43.3,25.31,88.0,3.87,1.64,0.24,8.47,14.74,48.839062,2.208768,92.22,18.58,140.3,18,0.83,19161100,220725,2237.7358530827473
467.03,43.1,26.01,88.0,3.87,1.7,0.24,8.62,14.69,48.839062,2.208768,92.22,22.95,127.98,18,0.83,19161100,220725,2237.7358530827473
