Temps,Tension,Vitesse,GazFrein,WHCharged,WHDischarged,Distance,CurrentIn,MotorCurrent,Lat,Lon,Alt,Vsat,Cap,Sat,HDOP,Heure,Date,Distance_GPS
663.29,31.3,23.51,0.0,4.48,3.28,0.39,0.0,0.0,48.828037,2.189508,123.1,25.98,258.82,23,0.59,10293500,270725,3648.08310615481
664.34,31.3,24.52,0.0,4.48,3.28,0.39,0.0,0.0,48.827999,2.189445,122.22,25.98,258.82,23,0.59,10293600,270725,3654.3378711896103
665.33,31.3,24.93,0.0,4.48,3.28,0.39,0.0,0.0,48.827965,2.18938,121.88,25.98,258.82,23,0.59,10293700,270725,3660.415122293137
666.26,31.3,25.31,0.0,4.48,3.28,0.39,0.0,0.0,48.827923,2.189316,121.48,25.98,258.82,23,0.59,10293800,270725,3667.0302008239023
667.28,31.3,25.63,0.0,4.48,3.28,0.39,0.0,0.0,48.827885,2.189251,121.18,25.98,258.82,23,0.59,10293900,270725,3673.393688328508
668.33,31.3,25.58,0.0,4.48,3.28,0.39,0.0,0.0,48.827839,2.189182,121.23,25.98,258.82,22,0.62,10294000,270725,3680.5822222896904
669.17,31.3,25.73,0.0,4.48,3.28,0.39,0.0,0.0,48.827793,2.18912,121.83,25.98,258.82,23,0.59,10294100,270725,3687.4204422690177
670.28,31.5,25.62,-19.0,4.49,3.28,0.39,-3.95,-5.98,48.827751,2.189051,122.45,25.98,258.82,23,0.59,10294200,270725,3694.2996046032827
671.35,31.6,23.64,-30.0,4.52,3.28,0.39,-2.92,-4.83,48.827709,2.188991,122.67,25.98,258.82,23,0.59,10294300,270725,3700.710656643534
672.26,31.8,22.39,-32.0,4.56,3.28,0.39,-4.36,-7.96,48.827663,2.18894,121.97,25.98,258.82,23,0.59,10294400,270725,3707.0431611987256
673.31,31.7,21.45,0.0,4.58,3.28,0.4,0.0,0.0,48.827614,2.188905,121.47,25.98,258.82,23,0.59,10294500,270725,3713.064042812548
674.35,31.7,21.01,0.0,4.58,3.28,0.4,0.0,0.0,48.827564,2.188886,120.93,25.98,258.82,23,0.59,10294600,270725,3718.7951197613716
675.23,31.7,20.89,0.0,4.58,3.28,0.4,0.0,0.0,48.827515,2.188871,120.29,25.98,258.82,23,0.59,10294700,270725,3724.353213453477
675.81,31.7,21.06,0.0,4.58,3.28,0.4,0.0,0.0,48.827515,2.188871,120.29,19.17,188.91,23,0.59,10294700,270725,3724.353213453477
