Temps,Tension,Vitesse,GazFrein,WHCharged,WHDischarged,Distance,CurrentIn,MotorCurrent,Lat,Lon,Alt,Vsat,Cap,Sat,HDOP,Heure,Date,Distance_GPS
2342.62,24.8,16.51,0.0,13.54,15.03,1.22,0.0,0.0,48.849388,2.213833,116.91,13.5,68.74,34,0.47,19472700,220725,11366.6721117078
2343.18,24.7,16.77,0.0,13.54,15.03,1.22,0.0,0.0,48.849388,2.213833,116.91,14.82,67.08,34,0.47,19472700,220725,11366.6721117078
2343.75,24.7,18.6,0.0,13.54,15.03,1.22,0.0,0.0,48.849407,2.213888,116.69,14.82,67.08,33,0.47,19472800,220725,11371.217356389994
2344.63,24.7,20.96,0.0,13.54,15.03,1.22,0.0,0.0,48.849422,2.213951,116.42,14.82,67.08,32,0.49,19472900,220725,11376.119583209806
2345.66,24.7,23.14,0.0,13.54,15.03,1.22,0.0,0.0,48.849442,2.21402,116.16,14.82,67.08,31,0.5,19473000,220725,11381.636457228058
2346.57,24.7,24.75,0.0,13.54,15.03,1.22,0.0,0.0,48.849464,2.214096,115.99,14.82,67.08,32,0.49,19473100,220725,11387.711713463457
2347.62,25.7,26.21,-55.0,13.55,15.03,1.22,-11.89,-16.28,48.849487,2.214178,115.44,14.82,67.08,31,0.5,19473200,220725,11394.234032375267
2348.18,25.9,26.24,-54.0,13.6,15.03,1.22,-11.29,-15.71,48.849487,2.214178,115.44,24.46,69.44,31,0.5,19473200,220725,11394.234032375267
2348.75,25.9,26.2,-49.0,13.64,15.03,1.22,-10.22,-14.04,48.84951,2.214265,115.24,24.46,69.44,31,0.5,19473300,220725,11401.094403348841
2349.64,26.2,26.11,-45.0,13.7,15.03,1.22,-9.57,-13.06,48.849533,2.214354,115.17,24.46,69.44,31,0.5,19473400,220725,11408.090776529141
2350.69,26.4,26.06,-47.0,13.78,15.03,1.22,-9.97,-13.85,48.849556,2.214444,115.28,24.46,69.44,31,0.5,19473500,220725,11415.155304266533
2351.62,26.7,26.2,-50.0,13.85,15.03,1.22,-9.73,-13.7,48.849575,2.214538,114.91,24.46,69.44,32,0.51,19473600,220725,11422.350497135652
2352.18,27.0,26.44,-45.0,13.89,15.03,1.22,-9.71,-13.37,48.849575,2.214538,114.91,25.19,67.67,32,0.51,19473600,220725,11422.350497135652
2352.74,27.2,26.11,-63.0,13.94,15.03,1.22,-12.22,-19.21,48.849598,2.21463,114.77,25.19,67.67,32,0.5,19473700,220725,11429.551629447473
2353.65,27.5,25.85,-63.0,14.01,15.03,1.22,-10.94,-16.88,48.849617,2.214717,114.76,25.19,67.67,31,0.51,19473800,220725,11436.258887388885
